rawVesNames,mappedVesNames
MV STAR JEANNETTE,STAR JEANNETTE
MV STAR NASIA,STAR NASIA
MV STAR NORITA,STAR NORITA
MV STAR PEGASUS,STAR PEGASUS
MV STAR RENEE (MGT-P),STAR RENEE
MV STELIOS B,STELIOS B
MV STRATEGIC HARMONY,STRATEGIC HARMONY
MV STRIGGLA,STRIGGLA
MV SYROS ISLANDS,SYROS ISLAND
MV TAN BINH 259,AN BINH 259
MV TAN BINH 259 (EXP-F),TAN BINH 259
MV TAN BINH 59,TAN BINH 59
MV TEAM GUARD  (EXP-F),No
MV THOR MENELAUS,THOR MENELAUS
MV TRISTAR PROSPERITY (EXP-C),TRISTAR PROSPERITY
MV TUHINA,TUHINA
MV ULTRA DURBAN,ULTRA DURBAN
MV UNTIY EXPLORER,UNITY EXPLORER
MV V BRAVO (EXP-F),V BRAVO
MV V STAR,V STAR
MV VICTORY C,VICTORY C
MV VISHVA ANAND,VISHVA ANAND
MV VISHVA CHETNA (MGT-P),VISHVA CHETNA
MV VISHVA JYOTI (MGT-P),VISHVA JYOTI
MV VISHVA UDAY (EXP-C),VISHVA UDAY
MV VISHVA UDAY (MGT-P),VISHVA UDAY
MV VOLOS (MGT-P),VOLOS
MV VSC CASTOR,VSC CASTOR
MV VSG  DREAM,VSG DREAM
MV VSTAR,VSTAR
MV WESTERN SINGAPORE,WESTERN SINGAPORE
MV WL UGLICH,WL UGLICH
MV YASA PIONEER,YASA PIONEER
MV YUN TONG,YUN TONG
MV ZEPHYR VENTURE,ZEPHYR VENTURE
MV ZHEN HUA 26,ZHEN HUA 26
MV ZHEN HUA 36,ZHEN HUA 36
MV. AOM JULIA [GL],AOM JULIA
MV. ARPEGGIO [GL],ARPEGGIO
MV. AS ELBIA,AS ELBIA
MV. BBC GREENLAND,BBC GREENLAND
MV. BERGE HOVERLA [GL],BERGE HOVERLA
MV. GRAND RADIANT [GL],GRAND RADIANT
MV. HAI JIN,HAI JIN
MV. LORIENT [GL],LORIENT
MV. PENELOPE I [GL],PENELOPE I
MV. SAUVAN [GL],SAUVAN
MV. SHOU CHEN SHAN,SHOU CHEN SHAN
MV. VANTAGE KEY,VANTAGE KEY
MV. VISHVA PREETI  [GL],VISHVA PREETI 
MV. VISHVA PRERNA,VISHVA PRERNA 
MVAN HAI STAR,AN HAI STAR
NARCEA,MT NARCEA
NAVE PHOTO,NAVE PHOTON
NAVE SERNERGY,NAD SBERGY (NAVE SYNERGY)
NAZIA ZAHAN,NAZIA JAHAN
NBA MAGRITE,NBA MAGRITTE
Nea Alpis,NEA ELPIS
NEW ADVANE,NEW ADVANCE
NEW FRONTOER,NEW FRONTIER
NEW HARMONEY,NEW HARMONY
NEW SPING,NEW SPRING
NEW VANGARD,NEW VANGUARD
NNC HAIEL,NCC HAIEL
NOBEL ACE,NOBLE ACE
Nord Imbari,LEIA
NORDIC TATANIA,NORDIC TATIANA
NORDICH THUNDER,NORDIC THUNDER
NORODOLPHIN,NORDDOLPHIN
NORTHSEA ALPHA,MARINE HERCULES
NORTHSEA BETA,MARINE MOON
NORTHSEA LOGIC,NORTHSEA LOGIC
NORTHSEA RATIONAL,NORTHSEA RATIONAL
NS COLOMBUS,NS COLUMBUS
NS SPRIT,NS SPIRIT
OLYMPIC FRIEND,OLYMPIC FRIENDSHIP
ORAKAI,ORAKAI
ORALUNA,ORALUNA
ORALYNN,ORALYNN
ORATUULIA,ORATUULIA
ORIENTAL DAPHINE,ORIENTAL DAPHNE
ORIENTAL HIBISCUS,ORIENTAL HIBISCUS
OSHIMA TRADER,OSHIMA TRADER
OTTIMAN SINCERITY,OTTOMAN SINCERITY
OWL 5,OWL 5
PACFIC EXPLORER,PACIFIC EXPLORER
PALLS ORUST,GOLDEN SPLENDOR (PALLAS ORUST)
PAM BICORN,PAN BICORN
PELLA Aft Rn,PELLA
PHAEPHON,PHAETHON
PHOENIX REISEN,PHOENIX RISING
PIA,PIA
POR ALLIANCE,PRO ALLIANCE
PORTATISSA,PORTAITISSA
PRIMO I,PRIMO 1
PROODOS,PROODOS
PS VALLETA,PS VALLETTA
QIKITAALUK W.,QIKIQTAALUK W
QUEEN JUDY,QUEEN JUDI
RAS GHUMASY-I,RAS GHUMAYS I
RC BEHAR,RC BEHAR
RED NOON,RED NOVA
REHOBOTH,REHOBOTH
REKON,REKON
RHAED RAOID,RHAEO RAPID
RHL DRESDEN,SCOT DRESDEN
RHOURD EL HAMBRA,RHOURD EL HAMRA
RIDGEBURY CAPTAIN DROGIN,RIDGEBURY CAPTAIN DR
RIDGERUBY JOHN ZIPSER,RIDGEBURY JOHNZIPSER
RODIGEBURY CAPTAIN DR,RIDGEBURY CAPTAIN DR
ROSAIRE DESGAGNES,ROSAIRE A.DESGAGNES
RUBY EN+C514TERPRISE,RUBY ENTERPRISE
RVTG,RVTG
SAKISAYA WISDOM,SAKIZAYA WISDOM
SAKIZAYA VICTORY Aft Rn,SAKIZAYA VICTORY
SAMARA,FRONT SAMARA
SAN RAMON VOYAGE,SAN RAMON VOYAGER
SANTA PAWLINA,SEAVEN PRIDE
SCALI DEL PONTINO,SCALI DEL PONTINO
SCALI DEL TEATRO,SCALI DEL TEATRO
SCALI REALI,SCALI REALI
SCALI SANLORENZO,SCALI SANLORENZO
SCARLET MANX,SCARLETT MANX
SCF BAIKAL - 1ST,SCF BAIKAL
SCF BAIKAL - 2ND,SCF BAIKAL
SEA TRIBUT,SEATRIBUTE
SEAWAY TYBEE,SEAWAYS TYBEE
SEAWAYS AMBROSE,SEAWAYS AMBROSE
SEAWAYS CANAVERAL,CAN KA
SEAWAYS GATUN,SEAWAY GATUN
SEYCHELLES PIONER,SEYCHELLES PIONEER
SILVER ETERMA,SILVER ETREMA
SILVER HERA,SILVER HEBA
SM ROBERT BANK,SM ROBERTS BANK
SMERU,SMERU
SOLOMON SEA - 1ST,SOLOMON SEA
SOLOMON SEA - 2ND,SOLOMON SEA
SONANGOL NAMBIE,SONANGOL NAMIBE
SOUSTA,SOUSTA
SPYROS - 2ND,SPYROS
STAR NICOLI,STAR NICOLE 
STATI,STATIA
STELLA KOSAN,STELLA KOSAN
STOLT OSPREY,STOLT OSPREY
STOLT SANDPIPER,STOLT SANDPIPER
STOLT SEAGULL,STOLT SEAGULL
STRATEGC SYNERGY,STRATEGIC SYNERGY
S-TRESURE,S-TREASURE
SUGER RATAN,SAGAR RATAN
SUNNY LIGER,SUNNY LIGER
SWOR,SWORD
SYN ZANIA,SYN ZANIA
TANAB,TANAB
TBA,TBA
TBN,TBN
TCLC LUZOU,TCLC LUZHOU
TENNA KOSAN,TENNA KOSAN
TORM AMELIE,TORM AMALIE
TORM MATHILDE - 1ST,TORM MATHILDE
TORM MATHILDE - 2ND,TORM MATHILDE
TRACEY KOSAN,TRACEY KOSAN
TRANS EMERALD,TRANS EMERALD
TRANS HOLM,TRANS HOLM
TRANSGAS FORCE,TRANSGAS FORCE
TRAVIATA,TRAVIATA
TRIDENT SYMPHON,MIRAME (TRIDENT SYMPHONY)
Tsukuymoi Harmony,TSUKUYOMI HARMONY
TTM SUCCES,TTM SUCCESS
UACC MASSAFI,NCC MASAFI
ULTRA ESTERHAZI,ULTRA ESTERHAZY
UMAR 1,UMAR 1
Umm Al Lulu 1,UMM AL LULU-I
UNION SAGE,UNISON SAGE
UNIVERSIAL WINNER,UNIVERSAL WINNER
UNIVESAL VICTOR,UNIVERSAL VICTOR
V. HARMONY - 1ST,V. HARMONY
V. HARMONY - 2ND,V. HARMONY
V. PROSPERITY - 1ST,V. PROSPERITY
V. PROSPERITY - 2ND,V. PROSPERITY
V. TRUST - 1ST,V. TRUST
V. TRUST - 2ND,V. TRUST
VALENTINA BLUE,VALENTIA BLUE
VANNA,VANNA
VEMAOIL XIV,VEMAOIL XIV
VF TANKER 19,VF TANKER-19
VF TANKER 9,VF TANKER-9
VICTOR KONETS,VICTOR KONETSKY
VICTOR TITOV,VIKTOR TITOV
VINTERLINK VERITY,VERITY
VISAYAS,VISAYAS
VL PROSPERIT,VL PROSPERITY
VS LARA,VS LARA
VSX POLLUX,VSC POLLUX
VUAYANAGAR,VIJAYANAGAR
WAIST,WAIST
WILHELMIN ESSBERGER,WILHELMINE ESSBERGER
WL KRILLOV,WL KIRILLOV
WOO CHONN,WOO CHAN
WOO DING,WOO DONG
WULLIN,WULIN
xuyang 19,XU YANG 19
YASA GOLDEN BOSPHORU,YASA GOLDENBOSPHORUS
YASA GOLDEN BOSPHORYUS,YASA GOLDENBOSPHORUS
YM PLUTO,YM PLUTO
YOKUN,YUKON
YU LONG FENG,YUN LONG FENG
ZAIV BAIKAL,ZALIV BAIKAL
ZALIV AMALIKA,ZALIV AMERIKA
ZEUGMAN,ZEUGMAN
ASL CRYSTAL,DAHLIA HARMONY
CELCIUS MALAGA,CELSIUS MALAGA
CRIMSON EXPRESS,CRIMSON EMPRESS
D&K ABDUL RAZZAK KHALID ZAID,DK ABDUL RAZZAK KHA
FLEET TRADER II,SAI AN DA
GEORGE B,MT MARI UGLAND
HAFNIA MIKALIA,HAFNIA MIKALA
HAFNIA SPARK,NAVIG8 SPARK
NAVIG8 SUCCES,NAVIG8 SUCCESS
SCARLETT ROSELLA,SCARLET ROSELLA
WILLIARD J,WILLARD J
ZUORVA,ZOURVA
AJ-JIMI,AL-JIMI
MARLINE HERA,MARLIN HERA
STI MARACLE,STI MIRACLE
KMARINE REGARD,KMARIN REGARD
ANGELORIA,ANGELONIA
"BAHRI IRIS, 241-F-101, 241-F-102",BAHRI IRIS
"CLIPPER HELEN, 40-S-1052",CLIPPER HELEN
"DORIC PIONEER, Vopak 610, Vopak 301",DORIC PIONEER
"ELKA COSMOS, Vopak 301, Vopak 604, Vopak 601",ELKA COSMOS
"ELKA DELPHI, Vopak 605",ELKA DELPHI
"GH AUSTEN, Vopak 301",GH AUSTEN
"HAPPY OSPREY, 40-S-1052",HAPPY OSPREY
"HELLAS MARIANNA, Vopak 604, Vopak 610",HELLAS MARIANNA
"KITHNOS, 40-S-1052",KITHNOS
NAVIG8 AXINITE (Contacts: master.navig8axinite@suntech-fleet.com),HAFNIA AXINITE
"NAVIG8 SKY, OMC TK-503 A",CHEM STAR 1
"SEA KING, vopak 401",SEA KING
"STI GRAMERCY, DUGAS 701A, DUGAS 701B",STI GRAMERCY
Seahan Intrasia,SAEHAN INTRASIA
"TORM HARDRADA, 141-F-085, 141-F-083",TORM HARDRADA
AMIS WISDON 2,AMIS WISDOM II
AROZOU,AROUZU
BERGE TRONATOR,BERGE TRONADOR
BESKIDI (1st),BESKIDY
BROACH RICH,BROAD RICH
BTG KAILASG,BTG KAILASH
BTG OLYMPUS,BTG OLYMPOS
BUFALLO,BUFFALO
CARAVOS GLORY - 02ND BERTH,MV CARAVOS GLORY
CIELO DE MONACO,CIELO DI MONACL
CMB VAN DUCK,CMB VAN DIJCK
CORCKSCREW,CORKSCREW
DARYA KIRTH,DAYRA KIRTHI
DIAMONGATE,DAIMONGATE
EM MAY,EN MAY
EMERALD PLUTO,EMERALD PUTUO
FAME - 02ND BERTH,FAME
YUTAI AMBITTIONS,YUTAI AMBITIONS
BBC GRACE,BBG GRACE
ZOE XL,ZOI XL
FALKONEIRA (1ST),FALKONERA
FALKONEIRA (2ND),FALKONERA
SEARIDER - 02ND BERTH,SEARIDER
BBZ LIUZHOU (1st),BBG LIUZHOU
TBI PRESTIGE,TBC PRESTIGE
ERMIS - 02ND BERTH,ERMIS
DANAÃ,DANAE
MAIAS,MAIA
ONARK,OZARK
ORMUS,ORMOS
YAN SHUN HAI,YUAN SHUN HAI
GREAT ULRIKEN,BTG ULRIKEN
ZOI XLÂ²,ZOI XL
ZOI XLÂ¹,ZOI XL
WANGARATA (1st),WANGARATTA
WANGARATA (2nd),WANGARATTA
NEOFOTISTOS,CAPTAINJ.NEOFOTISTOS
SHADONG FU,SHANDONG FU YI
GMG CONCORD 3,GNG CONCORD3
VISNHA VINAY,VISHVA VINAY
GIOVANI CORRADO,GIOVANNI CORRADO
GLIZZLY (2nd),GRIZZLY
GLORIA DINA,GLORY DINA
GM MATHILDE,GW MATHILDE
GOLDEN CECILE,GOLDEN CECILIE
HANTON TRADE II,HANTON TRADER II
ISKENDEREUN,ISKENDERUN M
JF BIANCA,FJ BIANCA
JIN XIAN FENG (1st Berthing),JIN XIA FENG
JIN XIAN FENG (2nd Berthing),JI XIAN FENG
KAMARIN GENEO,KMARIN GENOA
KONKAR ADVENTURE,KONKAR VENTURE
LA LOIRAS,LA LOIRAIS
LA LORAIS,LA LOIRAIS
LAS LANDRIAIS,LA LANDRIAIS
LEVANTE - TOP-OFF,LEVANTE
GNC CONCORD 3,GNG CONCORD 3
MAGIC SAN,MAGIC SUN
ZHEN YAO (2nd),ZHENG YAO
PANTAZIS,PANTAZIS L
OCEAN BAR-STAR,OCEAN STAR
SEA CHARMMAY,SEA CHARM
WAL PACIFIC,W PACIFIC
TLCL LUZHOU,TCLC LUZHOU
TERN BULK,TERN BULKER
KM JADE,KM MT. JADE
KALIXENOS II,KALIXENOS
M PIREAS,S PIRAEUS
SAMPA BAY,TAMPA BAY
NORD AIRES 1,NORD ARIES
CAPE CASOS,CAPE KASOS
MEGIC PERSUS,MAGIC PERSEUS
FENG GUANG FENG,YUE GUAN FENG
NOKETSU CENTURY,HOKUETSU CENTURY
PRISCILA VENTURE,PRISCILLA VENTURE
STAR CAMILA,STAR KAMILA
TERESA JANGSU,THERESA JIANGSU
SBI MAMBA,S Samba 
SCARLET ALBATROOS,Xanadu
SCARLET ALBATROS,Xanadu
SEAGLE,SEAGULL 
SEGUARDIAN,THE GUARDIAN
SHANGDONG FU HEN,SHANDONG FU REN
SOYABEANI RUMBA,S RUMBA
SOYABEANI SUBARU,STAR SUBARU
SYMMETRY,GLORIA G
THESSALONIK,AMOY SUNNY
WALL CONFIDENCE,PRINCESS SHAHD
YUAN NA HAI,YUAN AN HAI 
GENCO COLUMBA (2nd),GENCO COLUMBIA
HANDONG FU YI,SHANDONG FU YI
TOMNI DINASTY,TOMINI DYNASTY
GLYKOFILLOUSA,GLYKOFILOUSSA
KATHERINE III,KATERINA III
BTS KAILASH,KAILASH
PEDHOLAS FARMER,FARMER
KMABOS,KAMBOS
STHALA,STAHLA
YOAZAN,YOZAN
OURANA LUCK (3rd),OURANIA LUCK
KALIOPI L (1st),KALLIOPI L
KALIOPI L (2nd),KALLIOPI L
KALIOPI L (3rd),KALLIOPI L
HANZE GDANKZ,HANZE GDANSK
NBA MILLI,NBA MILLET
UBS STOCKHOLM,UBC STOCKHOLM
STAR DANAE,STAR DANAI
TUO FUO 8,TUO FU 8
SHANDONG FU,SHANDONG FU DE 
NORD ATRIATIC (1ST),NORD ADRIATIC
NORD ATRIATIC (2ND),NORD ADRIATIC
PSSAROS D,PSARROS D
ELPIDIA,ELPIDA
ASTERA,ASTREA
GLIZZLY,GRIZZLY
LIMONAS,LIMNIONAS
ULISSES,NAVA ULYSSES
LOWLANDS CONFORT,BULLDOG
MG CRONOS,MG KRONOS
MP KAMSARMAX I,MP KAMSARMAX 1
NARA l,NARA I
NAVIGARE BONITA,GENCO MADELEINE
NAVIOS FACILITY I,NAVIOS FELICITY I
NAVIOS GALAXY II,NAVIOS GALAXY HL DU4
NBA VAN GONCH,NBA VAN GOGH
PREDADORE,PREDATOR
RODHES,RHODES
RYSE,RIZE
SANTA EIRINI,SANTA IRINI
SANTA INÃS,SANTA INES
SANTO ANTONIO,SAN ANTONIO
WV INA-LOTTE,INA-LOTTE
MAGIC RAINBOW - 01ST BERTH,MAGIC RAINBOW
MAGIC RAINBOW - 02ND BERTH,MAGIC RAINBOW
MG EXPLORER 01ST BERTH,MG EXPLORER
MG EXPLORER 02ND BERTH,MG EXPLORER
HAKURA,HAKUTA
KAREM,KAREMA
MEDI SAGOYA,MEDI NAGOYA
NEFELY,NEFELI
AS JABAL ALMISHT,JABAL ALMISHT
MAHA ROSS,MAHA ROOS
STR DORA,SDTR DORA
AVICL ARTEMIS,AVICL ATERMIS
JAMAICA BAY (01ST BERTH),JAMAICA BAY
LCORN EUROPA,CORN
BRIGHT WINT,BRIGHT WIND
MEDI SEPARO,MEDI SERAPO
PEACE GEAM,PEACE GEM
ALPHA VISITION,ALPHA VISION
CSC ROTTERDAM,CSSC ROTTERDAM
MSTX OCEANUS,OCEANUS
SERENE JUNITER,JUNIPER
THE GIVER - 01ST BERTH,THE GIVER
THE GIVER - 02ND BERTH,THE GIVER
SHANDONG FUI YI,SHANDONG FU YI
CAPTAIN TASSOS,CAPTAIN TASSOS
GEM GREEN,GREEN GEM
GENCO CONSTALLATION,GENCO CONSTELLATION
CPT GEORGIS S,CPT GEORGIOS S
TRANSCEDEN WISDOM,TRANSCENDEN WISDOM
CAPETAN VASSALIS II,CAPETAN VASSILIS II
JACOB OLDENDORF,JACOB OLDENDORFF
REX OLDENDORF,REX OLDENDORFF
TRANCENDEN DIAMOND,TRANSCENDEN DIAMOND
NORD CHEPAPEAKE,NORD CHESAPEAKE
EURIPEDES GRAECIA,EURIPIDES GRAECIA
STRETEGIC FORTITUDE,STRATEGIC FORTITUDE
SHANGDONG FU ZHI,SHANDONG FU ZHI
COPENHAGEM EAGLE,COPENHAGEN EAGLE
TRANCENDEN STAR,TRANSCENDEN STAR
CP GANGZHOU,CP GUANGZHOU
MERCURAL VIRGO,MERCURIAL VIRGO
CHYSANTHI S,CHRYSANTHI S
LAURANCE FRANCOISE,LAURENCE FRANCOISE
CLIPPER APOLONIA,CLIPPER APOLLONIA
GENCO AQUITAIME,GENCO AQUITAINE
AOM FREDERICA,AOM FEDERICA
OCCITAN PAULLIAC,OCCITAN PAUILLAC
TBC PROFRESS,TBC PROGRESS
VIRTUOS STRIKER,VIRTUOUS STRIKER
STAR JAENNETTE,STAR JEANNETTE
DIMITRIUS T,DIMITRIOS T
NAVIOS CENTAUROS,NAVIOS CENTAURUS
EVER RELAINCE,EVER RELIANCE
PRIMORSE ATLANTIC,PRIMROSE ATLANTIC
EVOKIOS THEO,EVOIKOS THEO
CHARISM GR,CHARISMA.GR
SAKISAYA TREASURE,SAKIZAYA TREASURE
SAKYZAYA HERO,SAKIZAYA HERO
ESMERALD BAISHA,EMERALD BAISHA
SOPHOCLES GRECIA,SOPHOCLES GRAECIA
HOKETSU CENTURY,HOKUETSU CENTURY
LAMESSOS WIND,LEMESSOS WIND
YASA H MEMET,YASA H.MEHMET
FLORENTINE OEKTER,FLORENTINE OETKER
BBG TEISHAN,BBG TIESHAN
STAR JEANNETE,STAR JEANNETTE
AMIS WISDOW I,AMIS WISDOM I
TRITONS WIND I,TRITON WIND I
GREEN SAPHIRE,GREEN SAPPHIRE
KATERINE III,KATERINA III
NAVIOS ASTERISKS,NAVIOS ASTERIKS
PANTASIS L,PANTAZIS L
PRIMEROSE ATLANTIC,PRIMROSE ATLANTIC
CRIMNSON EMPRESS,CRIMSON EMPRESS
FRIEDRICH SHULTE,FRIEDRICH SCHULTE
HARVERT TIME,HARVEST TIME
NICOS TOMASSOS,NICOS TOMASOS
UNIVERSAL PIONNER,UNIVERSAL PIONEER
INDONESIA BULKER,INDONESIAN BULKER
SHINNING BLISS,SHINING BLISS
SUMMIT SUCESS,SUMMIT SUCCESS
YM PIONNER,YM PIONEER
OCEAN SCALION,OCEAN SCALLION
HANZE GDANKS,HANZE GDANSK
BBG  QUINZHOU,BBG QINZHOU
BBG GUIANG,BBG GUIGANG
CL TIFANY,CL TIFFANY
HORIZON DIAMON,HORIZON DIAMOND
INVESTOS X,IVESTOS X
NORD PINGUIN,NORD PENGUIN
THOR CURAGE,THOR COURAGE
ULTRA LANINGAN,ULTRA LANIGAN
JAG ARAATI,JAG AARATI
KAMRIN SINGAPORE,KMARIN SINGAPORE
CHRISTIANA B,CHRISTINA B
MARGARETH PISSAREK,MARGRETH PISSAREK
STAR NADZYIE,STAR NADZIYE
CRAVOS HARMONY,CARAVOS HARMONY
DESPIDA D,DESPINA D
ESMERALD BAY,EMERALD BAY
GIORGIA T,GEORGIA T
HORINZON DIAMOND,HORIZON DIAMOND
HUAYING SPIRIT,HUAYANG SPIRIT
LIBERT BAY,LIBERTY BAY
ORIENT DINASTY,ORIENT DYNASTY
RAINBOWN N,RAINBOW N
SEATLLE HARMONY,SEATTLE HARMONY
SSANKATY EAGLE,SANKATY EAGLE
THAITI ONE,TAHITI ONE
NAVIOS HERACLES I,NAVIOS HERAKLES I
BOYANT GARNET,BOYANG GARNET
HSL ATHENES,HSL ATHENS
JABAL AWKAWR,JABAL ALKAWR
JAUNT JENNY,JAUNTY JENNY
KAMARIN GENOA,KMARIN GENOA
MASTROS NIKOS,MASTRO NIKOS
NEW SUCESS,NEW SUCCESS
SEA PEAGASUS,SEA PEGASUS
SEA PROTHEUS,SEA PROTEUS
GCL GREEZE,GCL GREECE
PANAMAX NOSTROS,PANAMAX NOSTOS
MIM VANGEUS JR,MIM VANGELIS JR
YANNIS N.G,YIANNIS N.G.
SWFIT HANGZHOU,SWIFT HANGZHOU
STAR ALESSA,STAR ALESSIA
STAR SUZANNAH,STAR SUZANNA
TAI KINGDON,TAI KINGDOM
TAI SPLENDOUR,TAI SPLENDOR
ALPHA LEGALY,ALPHA LEGACY
CL PEXING,CL PEKING
CORAL JAASPER,CORAL JASPER
KAMARIN OSLO,KMARIN OSLO
NORD COPER,NORD COPPER
TOMNI UNITY,TOMINI UNITY
ULTRA COLGAR,ULTRA COUGAR
WOLRD PROSPER,WORLD PROSPER
CAMELIA BLISS,CAMELLIA BLISS
GREAT SPIRITY,GREAT SPIRIT
GREEK K-MAX 1,GREEN K-MAX 1
STAR JANNETTE,STAR JEANNETTE
STAR JEANETTE,STAR JEANNETTE
ID PIONER,ID PIONEER
TRISTAR DUGAN,TRISTAR DUGON
TRISTAR DUNGON,TRISTAR DUGON
NORD AIRES,NORD ARIES
MAGNA GRAECA,MAGNA GRAECIA
ARTIC OCEAN,ARCTIC OCEAN
JIA FOISONÂ²,JIA FOISON
JIA FOISONÂ¹,JIA FOISON
OCEAN BEUTY,OCEAN BEAUTY
OMICRON NIKUS,OMICRON NIKOS
GREEK DRIENDSHIP,GREEK FRIENDSHIP
CRISTAL CONFIDENCE,CRYSTAL CONFIDENCE
YANGTZE NAVIGATION,YANGZE NAVIGATION
OBESESSION,OBSESSION
YU ZHU FHENG,YU ZHU FENG
BEITEIGEUZE,BETEIGEUZE
GIOACOMETTI,GIACOMETTI
OCEANBEAUT,OCEANBEAUTY
INDIAN SOLIDARY,INDIAN SOLIDARITY
SAGAR RATAM,SAGAR RATAN
SAKIZAYA BRACE,SAKIZAYA BRAVE
SAKIZAYA KALOLN,SAKIZAYA KALON
STAR ARTRID,STAR ASTRID
ASTREA SB,ASTRAEA SB
PORT PHILIP,PORT PHILLIP
HIILMA BULKER,HILMA BULKER
PREVAIL STAIR,PREVAIL STAR
CRISTAL OCEAN,CRYSTAL OCEAN
MING SHENG 1,MINGSHENG1
PEDHOULAINS CHERRY,PEDHOULAS CHERRY
ATHINOUILA,ATHINOULA
FALKONEIRA,FALKONERA
IWAGE ISLAND,IWAGI ISLAND
PRINCESS DORI,PRINCESS DORIS
YANNIS B,YIANNIS B
FAIR LDAY,FAIR LADY
MSTX ATHENA,MSXT ATHENA
BBG HONOUR,BBG HONOR
OCCITAN PAULIAC,OCCITAN PAUILLAC
SHANDONG HAI XIN,SHANDONG HAI XING
ZHONG XING  PEARL,ZHONG XIN PEARL
LADY BELLAMIA,LADY BELLAMELIA
MAHAA AARTI,MAHA AARTI
ATINA CARRAS,ATHINA CARRAS
STDR FAITH,SDTR FAITH
GRAND ISLAND,GRANDE ISLAND
DIMITRIUS,DIMITRIS
INTUTION,INTUITION
KERVEIROS,KERVEROS
LIMIONAS,LIMNIONAS
LOMNIONAS,LIMNIONAS
SHOVELLER,SHOVELER
VOLUNTINA,VOLUTINA
MENEALOS,MENELAOS
NAVIOS ATHOS,NAVIOS ANTHOS
DARIA PADMA,DARYA PADMA
JIN XIAN FENG,XIN JIN FENG
XING SHUM HAI,XING SHUN HAI
CHLOE ISLAND,CHILOE ISLAND
STAR JAENETTE,STAR JEANNETTE
BLESSED LUCKY,BLESSED LUCK
KMAZ LEADER,KMAX LEADER
LAKE DOWN,LAKE DAWN
MEDI OTA,MEDI OITA
RIJIN CONFIDENCE,RIJN CONFIDENCE
STDTR FAITH,SDTR FAITH
XING RONG,RONG XIANG
MAGNA GRECA,MAGNA GRAECIA
VINCENT TRADER (02nd),VINCENT TRADER
GEORGIS,GEORGIOS
GOLAFRUS,GOLAFRUZ
LAUSANE,LAUSANNE
MARIBELA,MARIBEL
RELIABRE,RELIABLE
VOLUNTIA,VOLUTINA
MERCURIAL VIGO,MERCURIAL VIRGO
HAVERT TIME,HARVEST TIME
GUO YAN 28,GUO YUAN 28
WEN ZU HAI,WEN ZHU HAI
ULTRA JAGUAR 1,ULTRA JAGUAR
DIONE GR,DIONI.GR
SCARLET ROBIN 2,SCARLET ROBIN
WHEN ZHU HAI,WEN ZHU HAI
ELLEN NEPTUNE,ELEEN NEPTUNE
ORIENT PROMOTION,ORIENTAL PROMOTION
JUBILANTE DEVOTION (1st),JUBILANT DEVOTION
JUBILANTE DEVOTION (2nd),JUBILANT DEVOTION
CEMTEX DELIGENCE (1st),CEMTEX DILIGENCE
CEMTEX DELIGENCE (2nd),CEMTEX DILIGENCE
SAKIZAYA TREASURE 2,SAKIZAYA TREASURE
WU GUI SHAN V,WU GUI SHAN
CENTEX DELIGENCE,CEMTEX DILIGENCE
THE UNIT,THE UNITY
CPT DIMITRIOS,CPT DIMITRIOS S
ADMIRAL JIMMY,ADMIRAL JIMMU
AFRICAN GRAECA,AFRICA GRAECA
AGIA EKATHERINI,AGIA EKATERINI
AGIA SOPHIA,AGIA SOFIA 
AGIOS CONSTANTINOS,AGIOS KONSTANTINOS 
AGNES (02nd berth),AGNES
AIKATERI,AIKATERINI
EPICURUS/LR1,EPICURUS
MAERSK KALEA OOS,MAERSK KALEA
FOREVER DELIGHTB,FOREVER DELIGHT
OCEAN PRINCESS OOS,OCEAN PRINCESS
MAERSK KAELA,MAERSK KALEA
PARTRDIGE PACIFIC,PARTRIDGE PACIFIC
MARLIN LE HARVE,MARLIN LE HAVRE
SEA STRATUS OOS,SEA STRATUS
SANMAR SLOKA/LR1,SANMAR SLOKA
EASTERLY SERIUS,EASTERLY SIRIUS
SUVRETTA- AG PPT,SUVRETTA
PIS PARMEGON,PIS PARAGON
CONSTANZA,COSTANZA M
MARLIN LMEGOS,MARLIN LAGOS
PROTEUS REBECCA OOS,PROTEUS REBECCA
ACHHILLEAS,ACHILLEAS
LYRIC MMEGNOLIA,LYRIC MAGNOLIA
PELMEGIC TAIMEN,PELAGIC TAIMEN
ELISABETH I.A.,ELIZABETH I.A.
TORM KRISTEN,TORM KIRSTEN
YASA SHOUTHERN CROSS,YASA SOUTHERN CROSS
PROTEUS SINEAD O/O,PROTEUS SINEAD
KAVAFIX,KAVAFIS
PROTEUS SINEAD S,PROTEUS SINEAD
MARITIME KELLY ANN,MARITIME KELLY ANNE
CLEAROCENA MORITZ,CLEAROCEAN MORITZ
JMEG AANCHAL,JAG AANCHAL
KALAMOS EX DD,KALAMOS
JMEG PRERANA,JAG PRERANA
CSK ENDEAVOR,CSK ENDEAVOUR
SEAODYESSEY,SEAODYSSEY
EASTERN SYMPHONY,EASTERLY SYMPHONY
SANNMAR SANGEET,M.T SANMAR SANGEET
LILAC VCICTORIA,LILAC VICTORIA
B.K.ENAM,BUNGA KASTURI ENAM
ANTARTICA,ANTARCTICA
GRAND WINER I,GRAND WINNER 1
OCEAN PRINCESS,OCEAN PRINCESS I
TORM SPORE,TORM SINGAPORE
JMEG PRANAV,JAG PRANAV
